floors,date started,cost per square foot,years to complete,interest rate on financing,purpose,neighborhood,Target Centroid
25,2001-11-09,29.81,1,1.05,offices,mixed use,(floors:25-cost per square foot:25)
16,2001-06-10,28.29,2,6.76,hospital,residential,(floors:18-cost per square foot:25)
22,2020-08-02,23.56,2,0.46,government,unknown,(floors:25-cost per square foot:25)
17,2003-12-09,28.21,15,4.04,offices,unknown,(floors:18-cost per square foot:25)
20,2014-09-16,26.58,15,4.54,offices,rural,(floors:18-cost per square foot:25)
15,2008-03-30, ,14,3.37,factory,None,(floors:18-cost per square foot:25)
18,2015-08-28,21.71,9,3.59,factory,1,(floors:18-cost per square foot:20)
16,2004-09-17,25.97,14,4.97,government,unknown,(floors:18-cost per square foot:25)
18,2003-01-24,18.59,1,6.03,multi-purpose,residential,(floors:18-cost per square foot:20)
29,2004-06-28,22.57,12,0.57,offices,rural,(floors:25-cost per square foot:25)
22,2000-06-16,27.39,14, ,hospital,1,(floors:25-cost per square foot:25)
15,2021-02-15,17.29,7,6.27,factory,rural,(floors:18-cost per square foot:20)
18,2016-01-31,29.82,9,5.38,warehouse,industrial,(floors:18-cost per square foot:25)
21,None,24.36,12,2.39,offices,mixed use,(floors:18-cost per square foot:25)
27,2007-06-19,21.16,14,2.1,factory,entertainment,(floors:25-cost per square foot:25)
20,2006-02-09,23.89,12,2.51,government,0,(floors:18-cost per square foot:20)
19,2000-10-07,26.43,None,5.66,multi-purpose,rural,(floors:18-cost per square foot:25)
26,2023-11-06,25.81,14,2.21,government,residential,(floors:25-cost per square foot:25)
15,2001-02-24,17.16,6,None,offices,rural,(floors:18-cost per square foot:20)
21,2003-02-27,22.62,6,0.06, ,residential,(floors:25-cost per square foot:25)
24,2016-09-11,21.01,7,1.06, ,unknown,(floors:25-cost per square foot:25)
28,2018-01-01,29.61,2,5.53,nan,0,(floors:25-cost per square foot:25)
20,2013-09-21,21.38,15,3.73,hospital,residential,(floors:18-cost per square foot:25)
17,2018-08-20,21.15,3,4.2,offices,entertainment,(floors:18-cost per square foot:25)
25,2016-09-28,29.31,7,3.89,hospital,mixed use,(floors:25-cost per square foot:25)
